Year;Month;Province;Mortgaged_FirstHand_Sale;Mortgaged_SecondHand_Sale;Other_FirstHand_Sale;Other_SecondHand_Sale
2013;March;Tekirdag-59;463;527;557;834
2013;March;Tokat-60;97;98;97;103
2013;March;Trabzon-61;114;149;364;238
2013;March;Tunceli-62;8;8;25;14
2013;March;Usak-64;29;53;67;52
2013;March;Van-65;40;29;179;58
2013;March;Yalova-77;63;95;147;449
2013;March;Yozgat-66;19;67;54;111
2013;March;Zonguldak-67;80;118;122;130
2013;April;Adana-1;335;526;411;603
2013;April;Adiyaman-2;46;65;69;101
2013;April;Afyonkarahisar-3;78;60;106;214
2013;April;Agri-4;14;14;22;114
2013;April;Aksaray-68;62;63;108;82
2013;April;Amasya-5;67;70;86;79
2013;April;Ankara-6;1879;3830;2497;3683
2013;April;Antalya-7;782;1168;1406;1707
2013;April;Ardahan-75;1;0;7;5
2013;April;Artvin-8;31;26;28;26
2013;April;Aydin-9;302;458;491;715
2013;April;Balikesir-10;271;341;576;693
2013;April;Bartin-74;33;37;41;36
2013;April;Batman-72;51;36;108;42
2013;April;Bayburt-69;1;1;4;1
2013;April;Bilecik-11;54;49;81;52
2013;April;Bingol-12;0;2;6;6
2013;April;Bitlis-13;15;10;21;15
2013;April;Bolu-14;121;80;99;84
2013;April;Burdur-15;23;43;54;44
2013;April;Bursa-16;751;938;886;922
2013;April;Canakkale-17;110;188;306;241
2013;April;Cankiri-18;13;42;42;40
2013;April;Corum-19;106;181;201;154
2013;April;Denizli-20;181;259;202;231
2013;April;Diyarbakir-21;303;235;351;313
2013;April;Duzce-81;65;59;58;74
2013;April;Edirne-22;106;125;157;165
2013;April;Elazig-23;78;179;360;284
2013;April;Erzincan-24;23;31;40;45
2013;April;Erzurum-25;43;91;102;160
2013;April;Eskisehir-26;313;298;663;384
2013;April;Gaziantep-27;326;402;414;508
2013;April;Giresun-28;60;74;120;105
2013;April;Gumushane-29;9;14;18;14
2013;April;Hakkari-30;2;0;3;2
2013;April;Hatay-31;239;259;427;350
2013;April;Igdir-76;5;10;9;20
2013;April;Isparta-32;23;64;80;103
2013;April;Istanbul-34;4415;5311;4336;6729
2013;April;Izmir-35;1036;1984;1295;1947
2013;April;Kahramanmaras-46;139;163;197;219
2013;April;Karabuk-78;36;54;76;59
2013;April;Karaman-70;31;57;55;43
2013;April;Kars-36;24;22;36;12
2013;April;Kastamonu-37;58;61;96;105
2013;April;Kayseri-38;173;512;477;846
2013;April;Kilis-79;19;24;54;32
2013;April;Kirikkale-71;52;72;141;102
2013;April;Kirklareli-39;119;100;128;91
2013;April;Kirsehir-40;32;68;48;78
2013;April;Kocaeli-41;494;590;599;626
2013;April;Konya-42;298;476;577;677
2013;April;Kutahya-43;60;79;290;149
2013;April;Malatya-44;174;189;380;231
2013;April;Manisa-45;243;424;302;371
2013;April;Mardin-47;50;34;126;64
2013;April;Mersin-33;439;743;509;928
2013;April;Mugla-48;167;302;276;510
2013;April;Mus-49;0;21;1;18
2013;April;Nevsehir-50;27;47;41;107
2013;April;Nigde-51;38;73;109;160
2013;April;Ordu-52;133;126;229;158
2013;April;Osmaniye-80;91;68;146;90
2013;April;Rize-53;48;40;84;64
2013;April;Sakarya-54;204;223;546;570
2013;April;Samsun-55;288;299;447;433
2013;April;Sanliurfa-63;123;194;392;262
2013;April;Siirt-56;23;21;41;34
2013;April;Sinop-57;27;38;71;50
2013;April;Sirnak-73;1;1;24;5
2013;April;Sivas-58;56;108;83;116
2013;April;Tekirdag-59;457;460;644;796
2013;April;Tokat-60;71;92;71;102
2013;April;Trabzon-61;95;158;213;211
2013;April;Tunceli-62;4;5;12;15
2013;April;Usak-64;42;44;62;73
2013;April;Van-65;33;22;109;107
2013;April;Yalova-77;58;99;160;450
2013;April;Yozgat-66;31;50;63;90
2013;April;Zonguldak-67;87;112;109;107
2013;May;Adana-1;341;634;358;608
2013;May;Adiyaman-2;27;91;108;100
2013;May;Afyonkarahisar-3;108;70;143;228
2013;May;Agri-4;17;18;62;44
2013;May;Aksaray-68;59;68;179;94
2013;May;Amasya-5;73;81;139;71
2013;May;Ankara-6;2025;4112;2589;3912
2013;May;Antalya-7;817;1253;1718;1841
2013;May;Ardahan-75;3;0;10;2
2013;May;Artvin-8;39;19;37;24
2013;May;Aydin-9;316;461;454;835
2013;May;Balikesir-10;372;411;486;681
2013;May;Bartin-74;28;30;54;30
2013;May;Batman-72;68;26;124;58
2013;May;Bayburt-69;4;2;5;8
2013;May;Bilecik-11;78;62;173;38
2013;May;Bingol-12;1;1;4;10
2013;May;Bitlis-13;18;14;56;34
2013;May;Bolu-14;143;73;141;78
2013;May;Burdur-15;25;26;57;42
2013;May;Bursa-16;809;883;871;957
2013;May;Canakkale-17;159;145;359;258
2013;May;Cankiri-18;27;40;35;37
2013;May;Corum-19;128;185;163;193
2013;May;Denizli-20;285;315;286;234
2013;May;Diyarbakir-21;310;252;464;299
2013;May;Duzce-81;57;88;88;107
2013;May;Edirne-22;123;101;219;157
2013;May;Elazig-23;84;170;186;248
2013;May;Erzincan-24;39;37;49;47
2013;May;Erzurum-25;67;108;107;197
2013;May;Eskisehir-26;419;340;662;416
2013;May;Gaziantep-27;294;445;607;546
2013;May;Giresun-28;104;64;135;144
2013;May;Gumushane-29;5;10;19;18
2013;May;Hakkari-30;0;0;2;1
2013;May;Hatay-31;234;258;425;321
2013;May;Igdir-76;12;5;7;21
2013;May;Isparta-32;43;67;127;126
2013;May;Istanbul-34;4895;5910;4476;6749
2013;May;Izmir-35;1201;2099;1313;1922
2013;May;Kahramanmaras-46;162;158;259;203
2013;May;Karabuk-78;45;63;77;63
2013;May;Karaman-70;33;51;55;55
2013;May;Kars-36;27;12;43;25
2013;May;Kastamonu-37;93;55;146;112
2013;May;Kayseri-38;230;607;513;732
2013;May;Kilis-79;14;25;154;42
2013;May;Kirikkale-71;54;69;238;118
2013;May;Kirklareli-39;116;99;146;132
2013;May;Kirsehir-40;34;64;93;91
2013;May;Kocaeli-41;572;699;700;753
2013;May;Konya-42;345;546;650;739
2013;May;Kutahya-43;78;88;262;164
2013;May;Malatya-44;193;226;300;207
2013;May;Manisa-45;258;419;326;344
2013;May;Mardin-47;68;36;129;61
2013;May;Mersin-33;501;792;601;962
2013;May;Mugla-48;167;310;284;545
2013;May;Mus-49;1;21;2;18
2013;May;Nevsehir-50;17;62;48;120
2013;May;Nigde-51;71;87;78;173
2013;May;Ordu-52;165;140;208;181
2013;May;Osmaniye-80;106;72;168;70
2013;May;Rize-53;60;47;68;58
2013;May;Sakarya-54;225;231;476;456
2013;May;Samsun-55;437;348;496;403
2013;May;Sanliurfa-63;120;205;458;298
2013;May;Siirt-56;30;19;63;27
2013;May;Sinop-57;35;34;69;53
2013;May;Sirnak-73;0;2;6;6
2013;May;Sivas-58;77;125;135;92
2013;May;Tekirdag-59;549;599;716;966
2013;May;Tokat-60;72;102;76;92
2013;May;Trabzon-61;172;170;512;262
2013;May;Tunceli-62;24;9;54;15
2013;May;Usak-64;48;65;79;57
2013;May;Van-65;39;24;136;85
2013;May;Yalova-77;72;112;224;494
2013;May;Yozgat-66;38;80;113;101
2013;May;Zonguldak-67;81;137;105;117
2013;June;Adana-1;348;662;429;548
2013;June;Adiyaman-2;61;98;84;103
2013;June;Afyonkarahisar-3;86;65;116;187
2013;June;Agri-4;16;23;45;28
2013;June;Aksaray-68;63;64;136;93
2013;June;Amasya-5;118;67;97;74
2013;June;Ankara-6;2006;3812;2462;3412
2013;June;Antalya-7;722;1058;1161;1640
2013;June;Ardahan-75;4;2;9;2
2013;June;Artvin-8;54;28;34;29
2013;June;Aydin-9;324;461;343;643
2013;June;Balikesir-10;337;395;467;675
2013;June;Bartin-74;33;20;31;35
2013;June;Batman-72;56;22;113;44
2013;June;Bayburt-69;5;7;17;7
2013;June;Bilecik-11;94;64;74;40
2013;June;Bingol-12;0;0;9;27
2013;June;Bitlis-13;10;16;34;21
2013;June;Bolu-14;140;69;132;97
2013;June;Burdur-15;23;34;74;51
2013;June;Bursa-16;800;802;774;1090
2013;June;Canakkale-17;146;185;197;224
2013;June;Cankiri-18;44;36;44;36
2013;June;Corum-19;127;179;199;187
2013;June;Denizli-20;246;319;176;377
2013;June;Diyarbakir-21;308;236;395;283
2013;June;Duzce-81;77;65;87;104
2013;June;Edirne-22;118;126;181;180
2013;June;Elazig-23;83;139;215;212
2013;June;Erzincan-24;37;50;53;41
2013;June;Erzurum-25;68;103;229;175
2013;June;Eskisehir-26;385;339;599;350
2013;June;Gaziantep-27;338;433;650;504
2013;June;Giresun-28;76;80;156;118
2013;June;Gumushane-29;2;5;21;13
2013;June;Hakkari-30;2;0;1;1
2013;June;Hatay-31;250;262;332;304
2013;June;Igdir-76;5;7;27;19
2013;June;Isparta-32;39;84;84;97
2013;June;Istanbul-34;4491;5271;3669;5926
2013;June;Izmir-35;1228;1940;1371;1840
2013;June;Kahramanmaras-46;180;172;238;210
2013;June;Karabuk-78;56;59;72;48
2013;June;Karaman-70;33;52;61;51
2013;June;Kars-36;35;36;32;26
2013;June;Kastamonu-37;102;74;170;100
2013;June;Kayseri-38;239;544;608;728
2013;June;Kilis-79;24;25;93;50
2013;June;Kirikkale-71;48;87;171;112
2013;June;Kirklareli-39;112;106;136;110
2013;June;Kirsehir-40;72;70;88;72
2013;June;Kocaeli-41;536;657;610;629
2013;June;Konya-42;450;510;700;626
2013;June;Kutahya-43;96;117;265;140
2013;June;Malatya-44;200;205;241;204
2013;June;Manisa-45;293;429;317;290
2013;June;Mardin-47;56;39;104;65
2013;June;Mersin-33;509;810;708;1002
2013;June;Mugla-48;222;279;261;484
2013;June;Mus-49;1;22;6;17
2013;June;Nevsehir-50;15;80;62;95
2013;June;Nigde-51;51;75;89;139
2013;June;Ordu-52;169;128;292;143
2013;June;Osmaniye-80;104;116;124;66
2013;June;Rize-53;47;47;92;44
2013;June;Sakarya-54;276;234;544;455
2013;June;Samsun-55;410;337;499;470
2013;June;Sanliurfa-63;112;234;421;287
2013;June;Siirt-56;16;12;35;36
2013;June;Sinop-57;50;34;65;48
2013;June;Sirnak-73;0;7;13;1
2013;June;Sivas-58;89;110;126;126
2013;June;Tekirdag-59;533;567;642;796
2013;June;Tokat-60;100;100;69;82
2013;June;Trabzon-61;166;160;360;220
2013;June;Tunceli-62;55;21;47;33
2013;June;Usak-64;66;67;71;58
2013;June;Van-65;37;25;91;47
2013;June;Yalova-77;80;124;158;374
2013;June;Yozgat-66;76;57;64;62
2013;June;Zonguldak-67;92;129;95;111
2013;July;Adana-1;337;603;444;602
2013;July;Adiyaman-2;76;113;106;109
2013;July;Afyonkarahisar-3;88;86;118;271
2013;July;Agri-4;27;14;53;36
2013;July;Aksaray-68;90;45;157;109
2013;July;Amasya-5;99;106;178;80
2013;July;Ankara-6;2324;3744;2645;3715
2013;July;Antalya-7;830;1210;1303;1859
2013;July;Ardahan-75;3;2;9;3
2013;July;Artvin-8;32;33;54;31
2013;July;Aydin-9;341;478;630;940
2013;July;Balikesir-10;400;383;530;811
2013;July;Bartin-74;32;39;31;56
2013;July;Batman-72;42;22;104;74
2013;July;Bayburt-69;8;2;26;7
2013;July;Bilecik-11;102;74;134;55
2013;July;Bingol-12;2;0;12;12
2013;July;Bitlis-13;10;16;33;129
2013;July;Bolu-14;114;72;100;76
2013;July;Burdur-15;25;36;69;34
2013;July;Bursa-16;858;925;993;1152
2013;July;Canakkale-17;189;179;360;286
2013;July;Cankiri-18;50;35;58;35
2013;July;Corum-19;130;157;165;212
2013;July;Denizli-20;300;392;299;298
2013;July;Diyarbakir-21;298;250;409;279
2013;July;Duzce-81;81;67;84;97
2013;July;Edirne-22;147;122;180;204
2013;July;Elazig-23;107;135;229;252
2013;July;Erzincan-24;48;41;73;48
2013;July;Erzurum-25;105;122;210;189
2013;July;Eskisehir-26;431;376;776;464
2013;July;Gaziantep-27;329;398;887;530
2013;July;Giresun-28;81;73;146;151
2013;July;Gumushane-29;8;13;33;20
2013;July;Hakkari-30;1;0;2;1
2013;July;Hatay-31;290;282;470;425
2013;July;Igdir-76;13;6;22;21
2013;July;Isparta-32;30;74;131;112
2013;July;Istanbul-34;4828;5243;4206;6391
2013;July;Izmir-35;1214;1974;1717;2105
2013;July;Kahramanmaras-46;210;188;319;249
2013;July;Karabuk-78;84;54;91;60
2013;July;Karaman-70;30;55;90;69
2013;July;Kars-36;50;32;29;21
2013;July;Kastamonu-37;86;54;165;83
2013;July;Kayseri-38;225;567;822;871
2013;July;Kilis-79;20;20;63;51
2013;July;Kirikkale-71;58;91;141;102
2013;July;Kirklareli-39;134;106;182;124
2013;July;Kirsehir-40;58;54;202;94
2013;July;Kocaeli-41;635;692;785;679
2013;July;Konya-42;445;539;842;753
2013;July;Kutahya-43;124;102;360;169
2013;July;Malatya-44;269;213;252;283
2013;July;Manisa-45;317;418;342;341
2013;July;Mardin-47;67;38;125;67
2013;July;Mersin-33;509;816;690;1185
2013;July;Mugla-48;214;327;296;644
2013;July;Mus-49;1;11;5;16
2013;July;Nevsehir-50;24;59;35;122
2013;July;Nigde-51;48;89;108;175
2013;July;Ordu-52;182;101;276;135
2013;July;Osmaniye-80;139;90;156;63
2013;July;Rize-53;47;44;88;48
2013;July;Sakarya-54;384;276;544;507
2013;July;Samsun-55;469;362;523;412
2013;July;Sanliurfa-63;118;219;408;293
2013;July;Siirt-56;39;17;42;24
2013;July;Sinop-57;51;36;92;56
2013;July;Sirnak-73;0;1;11;7
2013;July;Sivas-58;95;106;164;150
2013;July;Tekirdag-59;567;651;744;975
2013;July;Tokat-60;100;94;93;119
2013;July;Trabzon-61;158;176;390;209
2013;July;Tunceli-62;79;26;86;31
2013;July;Usak-64;60;58;92;58
2013;July;Van-65;42;47;71;46
2013;July;Yalova-77;78;141;182;475
2013;July;Yozgat-66;71;78;78;101
2013;July;Zonguldak-67;121;135;126;139
2013;August;Adana-1;273;446;276;431
2013;August;Adiyaman-2;50;69;112;121
2013;August;Afyonkarahisar-3;78;60;131;203
2013;August;Agri-4;17;9;62;30
2013;August;Aksaray-68;50;31;170;196
2013;August;Amasya-5;53;60;128;89
2013;August;Ankara-6;1602;2548;2171;3315
2013;August;Antalya-7;540;776;1069;1472
2013;August;Ardahan-75;10;1;24;1
2013;August;Artvin-8;30;26;39;32
2013;August;Aydin-9;199;361;491;980
2013;August;Balikesir-10;265;330;496;804
2013;August;Bartin-74;21;23;45;49
2013;August;Batman-72;51;13;91;36
2013;August;Bayburt-69;8;3;20;7
2013;August;Bilecik-11;44;47;62;47
2013;August;Bingol-12;0;1;6;19
2013;August;Bitlis-13;4;13;31;31
2013;August;Bolu-14;106;58;145;72
2013;August;Burdur-15;20;28;43;35
2013;August;Bursa-16;538;640;874;822
2013;August;Canakkale-17;146;129;300;293
2013;August;Cankiri-18;23;24;72;38
2013;August;Corum-19;105;124;198;217
2013;August;Denizli-20;197;257;278;256
2013;August;Diyarbakir-21;164;126;320;269
2013;August;Duzce-81;55;40;96;102
2013;August;Edirne-22;95;110;148;174
2013;August;Elazig-23;46;104;239;279
2013;August;Erzincan-24;46;21;73;45
2013;August;Erzurum-25;69;52;153;164
2013;August;Eskisehir-26;336;240;820;365
2013;August;Gaziantep-27;321;318;407;513
2013;August;Giresun-28;60;59;114;119
2013;August;Gumushane-29;13;5;42;22
2013;August;Hakkari-30;2;0;1;4
2013;August;Hatay-31;183;198;432;413
2013;August;Igdir-76;16;8;36;20
2013;August;Isparta-32;31;69;96;124
2013;August;Istanbul-34;3310;3524;3650;4446
2013;August;Izmir-35;770;1356;1231;1604
2013;August;Kahramanmaras-46;153;121;324;252
2013;August;Karabuk-78;64;44;87;60
2013;August;Karaman-70;25;32;92;90
2013;August;Kars-36;28;26;36;23
2013;August;Kastamonu-37;102;36;175;128
2013;August;Kayseri-38;157;397;927;993
2013;August;Kilis-79;15;22;103;30
2013;August;Kirikkale-71;49;56;259;217
2013;August;Kirklareli-39;87;62;141;136
2013;August;Kirsehir-40;39;55;177;116
2013;August;Kocaeli-41;430;444;624;545
2013;August;Konya-42;301;398;711;786
2013;August;Kutahya-43;92;89;219;156
2013;August;Malatya-44;182;150;279;291
2013;August;Manisa-45;195;298;279;310
2013;August;Mardin-47;41;27;155;78
2013;August;Mersin-33;401;537;518;958
2013;August;Mugla-48;136;287;400;669
2013;August;Mus-49;0;15;12;22
2013;August;Nevsehir-50;11;38;53;157
2013;August;Nigde-51;53;68;140;201
2013;August;Ordu-52;103;79;236;161
2013;August;Osmaniye-80;97;63;131;96
2013;August;Rize-53;33;28;81;81
